Source,Family,Genera,Species,Individuals Observed,Location,Longitude,Latitude,Country,Usual Pattern,Unusual Pattern,Pattern Notes,Iris color,Lifestage,Citation,Year,Notes
Sci Lit,Hylidae,Acris,Acris crepitans,1,Virginia,-78.6569,37.4316,USA,,dorsal axanthic mosaic,"Blue pigmentation was apparent on the dorsum. It was a mottled phenotype of tan/grey, green, and blue. The frog appeared to be an axanthic mosaic animal in that it was not entirely lacking xanthophores (evident in its green coloration). Many other A. crepitans have been seen at the hatchery across many years, by many observers, and none have been. noticed to exhibit this phenotypic coloration. I",NA,juvenile,Volume 44. Issue . ACRIS CREPITANS (Northern Cricket Frog). AXANTHISM,,
iNat,Hylidae,Agalychnis,Agalychnis callidryas,1,Costa Rica,10.731335,-85.058415,Costa Rica,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/100456051,2021,
iNat,Hylidae,Agalychnis,Agalychnis dacnicolor,1,"Cuernavaca, Mor., México",18.9242095,-99.2215659,Mexico,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/75584907,2019,
iNat,Hylidae,Agalychnis,Agalychnis dacnicolor,1,"Escuinapa, Sin., México",22.74805695,-105.8968775,Mexico,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/19547423,2015,
iNat,Hylidae,Agalychnis,Agalychnis dacnicolor,1,"San Pedro Pochutla, Oax., México",15.76984227,-96.44498334,Mexico,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/41582400,2019,
iNat,Hylidae,Agalychnis,Agalychnis dacnicolor,1,"Tlaquiltenango, Mor., México",18.45616283,-99.11865234,Mexico,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/30944022,2019,
iNat,Bufonidae,Anaxyrus,Anaxyrus fowleri,1,"Alabama, USA",34.04059167,-86.0232,USA,Brown ,Blue ,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/25203025,2019,injured?
iNat,Bufonidae,Anaxyrus,Anaxyrus americanus,1,"Kansas, USA",37.35005499,-94.80033481,USA,Brown ,Blue ,Partial body ,N/A,Adult ,https://www.inaturalist.org/observations/81390542,2021,
iNat,Bufonidae,Anaxyrus,Anaxyrus americanus,1,"Maryland, USA",39.55908333,-76.31389667,USA,Brown ,Blue ,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/82558374,2021,
iNat,Bufonidae,Anaxyrus,Anaxyrus americanus,1,"Michigan Lake Plain, MI, USA",43.979195,-86.43208333,USA,Brown ,Blue ,Partial body,N/A,Adult,https://www.inaturalist.org/observations/82782669,2021,
iNat,Bufonidae,Anaxyrus,Anaxyrus americanus,1,"Ohio, USA",41.33018667,-81.581475,USA,Brown ,Blue ,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/82170164,2021,
iNat,Bufonidae,Anaxyrus,Anaxyrus americanus,1,"Portage, ME 04768, USA",46.86856944,-68.854825,,Brown,Blue,Whole Body,N/A,Adult,https://www.inaturalist.org/observations/78992789,2020,
iNat,Bombinatoridae,Bombina,Bombina orientalis,1,Korea,37.990751,127.606888,Korea,Green,Turquoise,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/350092,2006,
iNat,Mantellidae,Boophis,Boophis septentrionalis,1,Madagascar,-12.77220266,49.17443991,Madagascar,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/36531,2009,injured?
iNat,Bufonidae,Bufo,Bufo bufo,1,"01015, Sutri, Lazio, IT",42.22027729,12.23008135,Italy,Yellow/Brown,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/26664576,2019,
iNat,Bufonidae,Bufo,Bufo bufo,1,"41020 Riolunato MO, Italia",44.21542856,10.6900198,Italy,Yellow/Brown,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/31553556,2017,kinda green
iNat,Bufonidae,Bufo,Bufo bufo,1,"4876 Etten-Leur, Nederland",51.52000046,4.645555496,Netherlands,Yellow/Brown,Blue,Partial body (injury site?),N/A,Juvenile,https://www.inaturalist.org/observations/27048364,2019,
iNat,Bufonidae,Bufo,Bufo bufo,1,"86020 Spinete CB, Italia",41.5467032,14.4893732,Italy,Yellow/Brown,Blue,Whole body (where white/light),N/A,Adult,https://www.inaturalist.org/observations/28492974,2019,
iNat,Bufonidae,Bufo,Bufo bufo,1,"90650 Oulu, Suomi",65.03087756,25.7959665,Finland,Yellow/Brown,Blue/Dark,Whole body,N/A,Adult,https://www.inaturalist.org/observations/64848588,2015,
iNat,Bufonidae,Bufo,Bufo bufo,1,Czech Republic,50.02510558,14.46694272,Czech Republic,Yellow/Brown,Blue/Red,Whole body,N/A,Adult,https://www.inaturalist.org/observations/27340533,2019,
iNat,Bufonidae,Bufo,Bufo bufo,1,England,51.95704167,-2.94437833,England,Yellow/Brown,Blue/Red,Whole body,N/A,Adult,https://www.inaturalist.org/observations/42113054,2020,
iNat,Bufonidae,Bufo,Bufo bufo,1,Italy,39.3536979,16.0477735,Italy,Yellow/Brown,Blue/Red,Whole body,N/A,Adult,https://www.inaturalist.org/observations/7830894,2017,
iNat,Bufonidae,Bufo,Bufo bufo,1,"onezza del Cimone, Province of Vicenza, Italy",45.847887,11.33376,Italy,Yellow/Brown,Blue/Red,Whole body,N/A,Adult,https://www.inaturalist.org/observations/84760503,2021,could not add to iNat project
iNat,Bufonidae,Bufo,Bufo bufo,1,"Pescosolido FR, Italia",41.77668583,13.69910929,Italy,Yellow/Brown,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/96001887,2021,
iNat,Bufonidae,Bufo,Bufo bufo,1,"Province of Trento, Italy",46.133859,11.152554,,Yellow/Brown,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/34457542,2019,
iNat,Bufonidae,Bufo,Bufo bufo,1,"Rue de Rumelange, Esch-Sur-Alzette, Luxembourg, LU",49.48755333,6.00010833,Luxembourg,Yellow/Brown,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/47617811,2020,
Sci Lit,Bufonidae,Bufotes,Bufotes balearicus,1,Italy,12.5674,41.8719,Italy,brownish/tan,blue,,black,,"Bruni et al., 2020",,
iNat,Bufonidae,Bufotes,Bufotes balearicus,1,"Via Vittorio Alfieri, Novellara, Emilia-Romagna, IT",44.810375,10.68836167,Italy,White,Blue,Whole body (where white),N/A,Adult,https://www.inaturalist.org/observations/76629558,2021,
iNat,Pyxicephalidae,Cacosternum,Cacosternum boettgeri,1,South Africa,-25.636958,28.048564,South Africa,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/104020286,2021,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,(private),,,,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/99955455,2021,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Besiko, Panama",8.466876019,-82.04434443,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/23935099,2018,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Colce Province, Panama",8.729166985,-80.41333008,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/23436201,2018,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Comarca, Panama",8.661039425,-81.77870214,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/97422987,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,Costa Rica,9.658265628,-82.77329742,Costa Rica,Green/Black,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/29247186,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"David, Panama",8.426302585,-82.42135171,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/76266335,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"David, Panama",8.433682544,-82.4194175,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/27208489,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Dolega, Panama",8.514945932,-82.41488323,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/26683523,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"El Rincon, Panama",8.174761772,-81.41848755,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/19986713,2018,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Las Palmas, Panama",8.207026072,-81.42113317,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/23098017,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Limon, Costa Rica",9.659261496,-82.74777955,Costa Rica,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/98720913,2021,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Limon, Costa Rica",9.739895,-82.845245,Costa Rica,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/33146379,2018,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Los Algarrobos, Panama",8.51545582,-82.41791937,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/42987241,2020,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Muna, Panama",8.34010601,-81.62815857,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/26902023,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Nurum, Panama",8.475937843,-81.17950439,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/20942237,2019,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,"Ojo de Agua, Panama",8.587248824,-80.63563652,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/50668376,2020,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,Panama,8.381482,-81.024875,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/101940373,2021,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,Panama,8.428868,-82.496807,Panama,Green/Black,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/78786804,2021,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,Panama,8.482848924,-82.41314683,Panama,Green/Black,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/43158210,2020,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,Panama,8.650325678,-80.63506374,Panama,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/122495,2012,
iNat,Dendrobatidae,Dendrobates,Dendrobates auratus,1,Panama,8.878818,-79.798534,Panama,Green/Black,Blue/Turquoise,Whole body,N/A,Adult,https://www.inaturalist.org/observations/71571225,2021,
